placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2
5,NA1_4386961311,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Electrocharge1,TFT6_Augment_Meditation2,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,0.0,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,1.0,BruiserEmblemItem,SpearOfShojin,ArchangelsStaff,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,RedBuff,IonicSpark,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Chalice,,
8,NA1_4386961311,TFT6_Augment_SecondWind1,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_ComponentGrabBag,,,1.0,0.0,,,,1.0,,,1.0,1.0,,,0.0,0.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,1.0,ZekesHerald,,,2.0,ArchangelsStaff,GuinsoosRageblade,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,1.0,MadredsBloodrazor,TitansResolve,RapidFireCannon,,,,,,,,
1,NA1_4386961311,TFT6_Augment_ItemGrabBag1,TFT6_Augment_PandorasItems,TFT6_Augment_ComponentGrabBag,,0.0,1.0,1.0,,,1.0,0.0,0.0,,1.0,,,2.0,0.0,2.0,,,,,0.0,1.0,,,,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,Bloodthirster,Quicksilver,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MageEmblemItem,ArchangelsStaff,SpearOfShojin,2.0,Zephyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,IonicSpark,RedBuff,WarmogsArmor,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuardianAngel,ZekesHerald,Deathblade,,,,,2.0,HextechGunblade,ArchangelsStaff,SpearOfShojin
6,NA1_4386961311,TFT6_Augment_TinyTitans,TFT6_Augment_PandorasItems,TFT7_Augment_BestFriends2,1.0,,,2.0,,,1.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,1.0,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Bloodthirster,UnstableConcoction,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,TitansResolve,Quicksilver,,1.0,Shroud,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,Morellonomicon,TitanicHydra,,,,,,,,,,,,,2.0,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4386961311,TFT7_Augment_AFK,TFT6_Augment_SecondWind1,TFT6_Augment_CelestialBlessing2,,1.0,1.0,0.0,,,1.0,0.0,1.0,,1.0,2.0,0.0,,,0.0,,,,1.0,,,1.0,0.0,0.0,,,,,,,,2.0,InfinityEdge,Deathblade,,,,,,1.0,,,,2.0,ArchangelsStaff,Bloodthirster,Morellonomicon,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,IonicSpark,WarmogsArmor,FrozenHeart,,,,,,,,,2.0,JadeEmblemItem,BrambleVest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA1_4386961311,TFT6_Augment_ItemGrabBag1,TFT7_Augment_BandOfThieves1,TFT6_Augment_Diversify2,,,1.0,,,,1.0,0.0,1.0,,1.0,2.0,0.0,,0.0,3.0,,,,1.0,,,1.0,,,0.0,0.0,,,,,,2.0,Morellonomicon,SpearOfShojin,ArchangelsStaff,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,Bloodthirster,TitansResolve,MadredsBloodrazor,,,,,,,,,,,,,2.0,TitanicHydra,MysticEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,Redemption,,,,,,2.0,WarmogsArmor,BrambleVest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,2.0,Spatula,,,,,,,,,,
3,NA1_4386912423,TFT6_Augment_Traitless3,TFT7_Augment_GadgetExpert,TFT6_Augment_ComponentGrabBag,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,2.0,RedBuff,IonicSpark,GargoyleStoneplate,,,,,,,,,2.0,ThiefsGloves,RunaansHurricane,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,GuinsoosRageblade,HextechGunblade,2.0,TitansResolve,FrozenHeart,Deathblade,,,,,,,,
1,NA1_4386912423,TFT7_Augment_UrfsGrabBag2,TFT6_Augment_LudensEcho2,TFT7_Augment_MageEmblem,,2.0,,1.0,,,1.0,,1.0,,,,,3.0,,1.0,,,,,0.0,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,2.0,HextechGunblade,UnstableConcoction,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,,,3.0,MageEmblemItem,RedBuff,Zephyr,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,Chalice,Redemption,3.0,ThiefsGloves,StatikkShiv,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,TitanicHydra,BrambleVest,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,,
7,NA1_4386912423,TFT7_Augment_LivingForge,TFT6_Augment_SunfireBoard,TFT7_Augment_UrfsGrabBag1,,,,1.0,,,1.0,,0.0,,,1.0,0.0,0.0,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,WarmogsArmor,OrnnRanduinsSanctum,Redemption,2.0,GuinsoosRageblade,BFSword,,,,,,2.0,ThiefsGloves,ArchangelsStaff,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BrambleVest,OrnnZhonyasParadox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NA1_4386912423,TFT6_Augment_CyberneticShell3,TFT7_Augment_GadgetExpert,TFT7_Augment_JadeEternalProtection,,,,,,,1.0,0.0,0.0,0.0,,3.0,0.0,,,0.0,,,,1.0,,,,0.0,,,,,,,,,2.0,StatikkShiv,,,,,,,2.0,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,TitansResolve,Quicksilver,,,,,,,,,,,,,1.0,RecurveBow,,,,,,,,,,,,,,,,,,,2.0,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Shroud,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA1_4386912423,TFT7_Augment_JadeTrait2,TFT7_Augment_FirstAidKit2,TFT7_Augment_JadeEternalProtection,,,,,,,1.0,1.0,0.0,,,3.0,0.0,,0.0,0.0,,,,1.0,,,,0.0,,,1.0,,,,,,2.0,ArchangelsStaff,MadredsBloodrazor,Morellonomicon,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarriorEmblemItem,TitansResolve,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,GargoyleStoneplate,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,TitansResolve,UnstableConcoction,,,,,,,,
2,NA1_4386912423,TFT7_Augment_UrfsGrabBag2,TFT6_Augment_ThrillOfTheHunt2,TFT7_Augment_UrfsGrabBag1,,,1.0,,,,1.0,0.0,1.0,,1.0,3.0,0.0,,,2.0,,,,1.0,,,1.0,0.0,,0.0,,,,,,,2.0,Morellonomicon,ArchangelsStaff,SpearOfShojin,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,Bloodthirster,Bloodthirster,,,,,,,,,,,,,2.0,ThiefsGloves,RapidFireCannon,GuinsoosRageblade,,,,,,,,,,,,,,,,,1.0,ForceOfNature,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,,,,,,,2.0,GargoyleStoneplate,WarmogsArmor,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,NeedlesslyLargeRod,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NA1_4386912423,TFT7_Augment_ScalescornEmblem2,TFT6_Augment_TradeSectorPlus,TFT7_Augment_ScalescornEmblem,1.0,,,1.0,,1.0,,,,0.0,1.0,,,0.0,0.0,,0.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,IonicSpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,ScalescornEmblemItem,,,2.0,RunaansHurricane,Deathblade,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ScalescornEmblemItem,ZekesHerald,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NA1_4386912423,TFT7_Augment_CursedCrown,TFT6_Augment_CelestialBlessing2,TFT6_Augment_CyberneticUplink2,,,,,1.0,2.0,,,1.0,,2.0,,,1.0,,0.0,0.0,1.0,0.0,,0.0,1.0,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,GiantsBelt,DragonsClaw,,2.0,NeedlesslyLargeRod,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,WarmogsArmor,BrambleVest,2.0,ChainVest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,DragonsClaw,,,,,,,,,,,,,,,,,,,,,2.0,NeedlesslyLargeRod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,,,,2.0,BFSword,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,BFSword,,
2,NA1_4386963891,TFT6_Augment_CalculatedLoss,TFT7_Augment_CavalierTrait,TFT6_Augment_PortableForge,,,,,,4.0,1.0,0.0,0.0,,1.0,,,,3.0,,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,RecurveBow,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FrozenHeart,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Bloodthirster,RedBuff,Shroud,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,2.0,CavalierEmblemItem,OrnnInfinityForce,HextechGunblade,2.0,Shroud,,,,,,
1,NA1_4386963891,TFT6_Augment_JeweledLotus,TFT7_Augment_AxiomArc1,TFT6_Augment_PortableForge,,,,1.0,,,1.0,,0.0,,,0.0,0.0,1.0,,0.0,,,,,0.0,1.0,1.0,,2.0,1.0,,0.0,,,,,,,,,1.0,ArchangelsStaff,InfinityEdge,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RapidFireCannon,,,,,,,,,,,,,,,,,,,2.0,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,OrnnMuramana,RecurveBow,StatikkShiv,,,,,2.0,Shroud,TitanicHydra,,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ArchangelsStaff,RabadonsDeathcap,
6,NA1_4386963891,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_LudensEcho1,TFT7_Augment_GadgetExpert,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,1.0,,2.0,0.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,RedBuff,Zephyr,GargoyleStoneplate,2.0,RunaansHurricane,MadredsBloodrazor,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Morellonomicon,StatikkShiv,InfinityEdge,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA1_4386963891,TFT7_Augment_GuildLoot,TFT6_Augment_Weakspot,TFT6_Augment_Diversify2,1.0,,,1.0,,1.0,,,,,3.0,,0.0,,,,1.0,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Morellonomicon,NeedlesslyLargeRod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,TitanicHydra,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,InfinityEdge,RabadonsDeathcap,,,,,,,,,,,None,None,,,,,2.0,ZekesHerald,ZekesHerald,,,,,,,,,,,,,2.0,GuinsoosRageblade,MadredsBloodrazor,Quicksilver,,,,,,,,,,,,
3,NA1_4386963891,TFT6_Augment_CalculatedLoss,TFT7_Augment_BestFriends1,TFT7_Augment_GadgetExpert,,2.0,,1.0,,,1.0,,1.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,UnstableConcoction,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,RedBuff,BrambleVest,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,IonicSpark,DragonsClaw,ChainVest,2.0,ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,3.0,UnstableConcoction,RunaansHurricane,StatikkShiv,3.0,RagewingEmblemItem,,,,,,,,,,,,,,,,,,,,,,
7,NA1_4386963891,TFT7_Augment_EvokerEssenceTheft,TFT7_Augment_MageTrait,TFT7_Augment_FirstAidKit2,,0.0,1.0,,,,1.0,,1.0,,1.0,0.0,,1.0,,2.0,1.0,0.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,2.0,WarmogsArmor,FrozenHeart,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,MadredsBloodrazor,ArchangelsStaff,Morellonomicon,,,,,1.0,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NA1_4386963891,TFT6_Augment_MetabolicAccelerator,TFT6_Augment_Diversify1,TFT6_Augment_TargetDummies,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,0.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,UnstableConcoction,ShimmerscaleHeartOfGold,MadredsBloodrazor,,,,,,,,,2.0,RedBuff,TitansResolve,TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,SpearOfShojin,StatikkShiv,GuardianEmblemItem
5,NA1_4386963891,TFT6_Augment_TradeSector,TFT6_Augment_Diversify1,TFT6_Augment_Meditation2,,2.0,,1.0,,,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,1.0,MageEmblemItem,MadredsBloodrazor,GuardianAngel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Deathblade,,,2.0,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,ThiefsGloves,ZekesHerald,RapidFireCannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,GargoyleStoneplate,DragonsClaw,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
5,NA1_4386870347,TFT6_Augment_LudensEcho2,TFT6_Augment_ComponentGrabBag,TFT6_Augment_Diversify2,,0.0,1.0,1.0,,,1.0,,0.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,1.0,ArchangelsStaff,SpearOfShojin,Morellonomicon,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,ThiefsGloves,Redemption,LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,RedBuff,,2.0,MadredsBloodrazor,LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DragonsClaw,RedBuff,TitanicHydra,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
